G,P,N,A
0,405,749,1929
0,405,749,1934
0,406,749,1934
0,406,749,1939
0,406,746,1939
0,406,746,1939
0,406,746,1944
0,406,745,1944
0,406,747,1949
0,406,747,1954
0,406,749,1954
0,406,749,1954
0,407,749,1959
0,407,749,1959
0,407,747,1959
0,413,747,1964
0,413,749,1969
0,418,749,1974
0,418,749,1974
0,418,749,1979
0,408,746,1979
0,408,746,1979
0,408,745,1979
0,408,745,1984
0,408,747,1989
0,408,747,1989
0,409,747,1994
0,409,749,1994
0,409,749,1999
0,409,749,1999
0,410,748,2004
0,410,748,2004
0,410,748,2009
0,405,749,2014
0,405,749,2014
0,410,749,2014
0,410,746,2019
0,410,746,2024
0,410,745,2029
0,410,745,2029
0,410,748,2029
0,410,748,2034
0,411,750,2034
0,411,750,2034
0,411,749,2039
0,412,749,2039
0,412,748,2044
0,412,748,2049
0,412,750,2049
0,412,750,2054
0,412,749,2059
0,412,749,2059
0,412,749,2064
0,412,746,2064
0,412,745,2069
0,412,745,2069
0,412,747,2074
0,413,747,2074
0,413,750,2079
0,413,750,2079
0,414,749,2084
0,414,749,2084
0,414,747,2089
0,414,747,2089
0,414,749,2089
0,414,749,2094
0,414,749,2094
0,414,749,2099
0,414,746,2104
0,414,746,2109
0,414,745,2114
0,414,745,2114
0,415,747,2119
0,415,747,2124
0,415,749,2119
0,416,749,2124
0,416,748,2124
0,416,748,2129
0,416,747,2134
0,416,747,2139
0,416,749,2139
0,416,749,2144
0,416,749,2144
0,416,749,2149
0,417,749,2149
0,417,747,2149
0,422,744,2149
0,417,744,2154
0,418,747,2154
0,418,747,2159
0,418,749,2164
0,419,749,2169
0,419,747,2169
0,419,747,2174
0,419,746,2174
0,419,746,2174
0,419,748,2179
0,419,748,2184
0,419,748,2184
0,419,748,2189
0,419,746,2194
0,420,746,2194
0,420,744,2194
0,420,744,2194
0,421,747,2199
0,421,747,2204
0,421,749,2209
0,421,749,2209
0,421,748,2214
0,421,748,2219
0,421,747,2219
0,426,747,2224
0,426,747,2224
0,426,749,2229
0,427,749,2229
0,422,749,2229
0,422,747,2234
0,368,746,1364
0,363,747,1364
0,363,747,1364
0,363,750,1364
0,368,750,1364
0,368,750,1369
0,368,750,1374
0,368,748,1374
0,368,748,1379
0,368,750,1384
0,369,750,1384
0,369,751,1389
0,369,751,1389
0,369,748,1389
0,370,748,1394
0,370,745,1394
0,370,745,1399
0,370,746,1399
0,365,746,1404
0,365,749,1404
0,365,749,1409
0,365,749,1409
0,366,749,1409
0,371,747,1409
0,371,747,1414
0,371,749,1414
0,372,749,1419
0,372,750,1424
0,372,750,1424
0,372,748,1429
0,372,748,1429
0,373,746,1434
0,373,746,1434
0,373,747,1434
0,373,747,1439
0,373,750,1439
0,373,750,1444
0,373,750,1444
0,373,750,1449
0,373,748,1449
0,373,748,1449
0,374,750,1454
0,374,750,1454
0,374,751,1454
0,375,751,1454
0,375,748,1459
0,376,748,1464
0,376,745,1469
0,376,745,1469
0,381,747,1469
0,381,747,1474
0,376,749,1479
0,377,749,1479
0,377,749,1484
0,377,749,1489
0,377,747,1489
0,378,747,1494
0,378,749,1494
0,378,749,1499
0,378,750,1499
0,378,750,1499
0,378,748,1504
0,379,748,1504
0,379,745,1509
